country,population,poultry_supply_capita,poultry_import,poultry_production,GDP,stability,urban,animal_protein_ratio,poultry_protein_ratio,production_per_capita,poultry_gap,import_dependency
Afghanistan,35688935.0,1.79,28937000.0,27637840.0,2335.79586234454,-2.61393089999999,24.8352821238871,18.000918414204804,6.887755102040817,0.7744092111462558,1.015590788853744,45.214062500000004
Albania,2898242.0,11.47,17515470.0,12912000.0,14110.683242211,0.1638298,55.980276426546,55.35499398315283,8.136645962732919,4.455114514246913,7.014885485753088,53.07718181818182
Algeria,41689299.0,6.86,400.0,364252170.0,13493.560749484,-0.929504599999999,71.3227912436551,31.35556042991884,10.947883875480938,8.737306184975669,-1.8773061849756685,0.00013986013986013986
Angola,30234839.0,10.5,265888300.0,40460720.0,8006.83661497696,-0.537214499999999,65.0850525086068,33.642033642033645,26.741573033707862,1.3382151629780465,9.161784837021953,83.61267295597484
Antigua and Barbuda,90468.0,69.28,6143690.0,23480.0,21422.0021576627,0.614623,24.8500263836871,68.26661077342277,48.35738409579368,0.2595392846089225,69.02046071539108,87.767
Argentina,44288894.0,44.3,2097230.0,2116000000.0,23385.0740904917,0.2394066,91.6776028433824,64.35598469666607,28.35102618542109,47.77721475727075,-3.477214757270751,0.10689245667686034
Armenia,2914963.0,15.62,34419230.0,10600000.0,12066.0043093819,-0.3015882,64.7124948593667,50.507445698567764,13.239436619718308,3.6364097931946304,11.983590206805369,74.82441304347827
Australia,24731038.0,50.34,3043000.0,1229505000.0,48564.8286592372,0.7831479,87.12809266445,69.2412501064464,27.930143893740006,49.71505846216402,0.6249415378359799,0.2444176706827309
Austria,8798778.0,18.24,45021850.0,127200000.0,53869.8321183556,0.9266955,67.9051196052802,60.89416566181245,12.901751713632903,14.45655294405655,3.783447055943448,26.17549418604651
Azerbaijan,9968510.0,12.97,23717450.0,104362000.0,14315.9296431061,-0.455635299999999,56.4331887124691,36.73362078031339,16.747781276839394,10.469167408168323,2.500832591831678,18.385620155038758
Bahamas,390485.0,51.37,11218140.0,6573060.0,34282.1710357791,0.8186672,82.0814018736052,63.8228590035819,40.8843537414966,16.833066571059067,34.53693342894093,50.99154545454545
Bangladesh,162186147.0,1.59,167410.0,195371820.0,4882.60692615639,-1.3289506,30.2015798381799,21.049191044288285,5.434782608695651,1.2046147196529677,0.38538528034703234,0.0648875968992248
Barbados,280171.0,47.0,562470.0,15805300.0,18436.8050803186,0.8399905,59.25926986892,56.12254759833768,38.97020836920957,56.413047745840935,-9.413047745840935,3.3086470588235293
Belarus,9495790.0,27.89,17840210.0,484900000.0,18413.747563367,0.0265511,77.0208206176758,56.69858821206437,21.90492773811597,51.06473500361739,-23.174735003617393,6.706845864661654
Belgium,11376581.0,11.38,212149490.0,455364000.0,50256.0631772784,0.3647602,86.6731739531869,60.004013646397745,8.595317725752508,40.0264367651406,-28.6464367651406,135.12706369426752
Belize,373202.0,31.62,3000.0,19646000.0,9120.65338346029,0.0274572,43.4211086747287,44.37274135260713,41.623036649214654,52.64173289532211,-21.021732895322106,0.015
Bolivia (Plurinational State of),11344587.0,44.68,690090.0,504093000.0,10420.3923250933,-0.2207409,69.0838016274736,53.91487777639906,46.375143843498265,44.43467179545628,0.24532820454371773,0.13611242603550297
Bosnia and Herzegovina,3428682.0,18.32,7408640.0,60970000.0,13627.0944831749,-0.3110983,48.4918401819106,36.54334933634566,21.329211746522407,17.782343186098917,0.5376568139010836,11.759746031746033
Botswana,2266747.0,3.3,2230640.0,1316430.0,15700.6650479641,1.0166207,65.9456435684731,30.14040561622465,7.815734989648034,0.580757358452443,2.719242641547557,27.883000000000003
Brazil,204703445.0,48.37,3305780.0,13607352200.0,14559.0488897884,-0.602133799999999,86.1982897571091,60.58603849468543,34.69258732416627,66.47348900259104,-18.10348900259104,0.03338497273278126
Bulgaria,7075636.0,22.13,96121260.0,87029000.0,22317.2548948063,0.4061393,73.3904571533203,52.25848994394988,20.904311251314407,12.299813048607927,9.830186951392072,61.22373248407643
Burkina Faso,19894407.0,2.1,74920.0,188000000.0,2042.40295259917,-0.855665599999999,25.9769918665632,15.169769989047097,8.574007220216606,9.449892122946917,-7.349892122946917,0.1783809523809524
Cabo Verde,512893.0,25.66,10731360.0,902000.0,7935.76176281072,0.7203252,69.1999988159713,42.16015344042196,33.40915553028149,1.7586514146225432,23.901348585377455,82.54892307692307
Cambodia,16073372.0,2.18,872630.0,17480530.0,5050.06356615113,-0.153852799999999,35.0127905056235,33.062682689184804,4.764243614931238,1.087545911337086,1.0924540886629142,2.493228571428572
Cameroon,24128601.0,3.24,9500.0,125006000.0,3767.43072883824,-1.1934513,53.3115142121504,17.776271186440677,11.136536994660565,5.180822543337676,-1.940822543337676,0.01217948717948718
Canada,36808497.0,38.89,143243010.0,1237223000.0,48317.3874457163,1.0192144,81.4018945832226,55.947873558157966,27.950897072710106,33.61242921709083,5.277570782909173,10.009993710691823
Chile,18558868.0,39.66,130215990.0,626126680.0,24295.223766602,0.5894191,87.8000295757281,55.38827258320127,32.43919885550787,33.73733139327248,5.92266860672752,17.692389945652174
"China, mainland",1412354727.0,12.71,450411210.0,13279000000.0,15022.4371883124,-0.203288,60.2402687072754,39.05434965505637,12.193020249892287,9.402028928105114,3.3079710718948867,2.556104704613813
Colombia,48131078.0,34.06,54122910.0,1563607100.0,14400.6139849314,-0.779948499999999,77.2245191706503,55.38990825688073,35.38072233724408,32.48643423278406,1.573565767215939,3.3021909701037218
Comoros,756669.0,17.76,61650.0,574730.0,3347.45652997484,-0.1999982,31.0996559689293,29.106317411402156,42.45632609846479,0.7595527238462261,17.000447276153775,0.47423076923076923
Congo,5351011.0,19.91,94170100.0,6536760.0,4444.63900215824,-0.7695685,63.3544545340423,51.81200453001132,32.932604735883416,1.2215934521532472,18.688406547846753,88.00943925233645
Costa Rica,4913177.0,26.7,12189070.0,133200000.0,20499.3442130778,0.7405908,76.0539254265608,57.92409360979751,25.266903914590742,27.110767635686646,-0.4107676356866463,9.096320895522387
Croatia,4079200.0,11.05,13306980.0,52400000.0,27887.7588440919,0.6251591,55.9009887365155,61.62674650698603,8.307692307692308,12.845656010982546,-1.7956560109825457,29.571066666666667
Cyprus,1254275.0,23.79,9641050.0,25099740.0,37768.1171875,0.6738103,66.8907450570326,52.4509289388055,21.893135881528917,20.011353172151242,3.778646827848757,28.356029411764705
Czechia,10541342.0,22.23,81880310.0,151981000.0,39346.030564257,1.0199948,72.9121853567256,62.76919844521483,16.836820083682007,14.417614000190868,7.812385999809132,33.01625403225806
