Area,Year,Unit,Value
Afghanistan,2017,t,28937
Albania,2017,t,17515.47
Algeria,2017,t,0.4
Angola,2017,t,265888.3
Antigua and Barbuda,2017,t,6143.69
Argentina,2017,t,2097.23
Armenia,2017,t,34419.23
Australia,2017,t,3043
Austria,2017,t,45021.85
Azerbaijan,2017,t,23717.45
Bahamas,2017,t,11218.14
Bahrain,2017,t,50133.32
Bangladesh,2017,t,167.41
Barbados,2017,t,562.47
Belarus,2017,t,17840.21
Belgium,2017,t,212149.49
Belize,2017,t,3
Benin,2017,t,70849.23
Bhutan,2017,t,1298.4
Bolivia (Plurinational State of),2017,t,690.09
Bosnia and Herzegovina,2017,t,7408.64
Botswana,2017,t,2230.64
Brazil,2017,t,3305.78
Brunei Darussalam,2017,t,1485.83
Bulgaria,2017,t,96121.26
Burkina Faso,2017,t,74.92
Burundi,2017,t,3.82
Cabo Verde,2017,t,10731.36
Cambodia,2017,t,872.63
Cameroon,2017,t,9.5
Canada,2017,t,143243.01
Central African Republic,2017,t,4570.46
Chad,2017,t,600.9
Chile,2017,t,130215.99
China,2017,t,1362583.46
"China, Hong Kong SAR",2017,t,736107.78
"China, Macao SAR",2017,t,18565.1
"China, mainland",2017,t,450411.21
"China, Taiwan Province of",2017,t,157499.36
Colombia,2017,t,54122.91
Comoros,2017,t,61.65
Congo,2017,t,94170.1
Cook Islands,2017,t,1505.84
Costa Rica,2017,t,12189.07
Côte d'Ivoire,2017,t,183.15
Croatia,2017,t,13306.98
Cuba,2017,t,305005.42
Cyprus,2017,t,9641.05
Czechia,2017,t,81880.31
Democratic People's Republic of Korea,2017,t,23.76
Democratic Republic of the Congo,2017,t,46013.93
Denmark,2017,t,33811.68
Djibouti,2017,t,2578.47
Dominica,2017,t,3772.22
Dominican Republic,2017,t,17747.39
Egypt,2017,t,92743.94
El Salvador,2017,t,10524.51
Equatorial Guinea,2017,t,18644.66
Eritrea,2017,t,2.3
Estonia,2017,t,14818.48
Eswatini,2017,t,1331.28
Ethiopia,2017,t,177.49
Faroe Islands,2017,t,361.28
Fiji,2017,t,2362.02
Finland,2017,t,5432.53
France,2017,t,374076.19
French Polynesia,2017,t,15699.87
Gabon,2017,t,61274.68
Gambia,2017,t,15984.51
Georgia,2017,t,47882.73
Germany,2017,t,474950.63
Ghana,2017,t,147537.69
Greece,2017,t,53290.8
Grenada,2017,t,6229.98
Guatemala,2017,t,123620.05
Guinea,2017,t,31501.45
Guinea-Bissau,2017,t,4205.58
Guyana,2017,t,81.31
Haiti,2017,t,85498.32
Honduras,2017,t,8774.57
Hungary,2017,t,37587.78
Iceland,2017,t,1206.52
India,2017,t,17.77
Indonesia,2017,t,0.03
Iran (Islamic Republic of),2017,t,5556
Iraq,2017,t,472062
Ireland,2017,t,70413.38
Italy,2017,t,51247.31
Jamaica,2017,t,22856.43
Japan,2017,t,569477.41
Jordan,2017,t,52808.43
Kazakhstan,2017,t,168860.94
Kenya,2017,t,75.14
Kiribati,2017,t,956.78
Kuwait,2017,t,131028.14
Kyrgyzstan,2017,t,23141.71
Lao People's Democratic Republic,2017,t,4129
Latvia,2017,t,34695.41
Lebanon,2017,t,7848.18
Lesotho,2017,t,7727.52
Liberia,2017,t,41180.36
Libya,2017,t,35190.34
Lithuania,2017,t,35085.39
Luxembourg,2017,t,7521.03
Malawi,2017,t,352.84
Malaysia,2017,t,66697.04
Maldives,2017,t,11248.29
Mali,2017,t,497.21
Malta,2017,t,5245.84
Marshall Islands,2017,t,2222.6
Mauritania,2017,t,23473
Mauritius,2017,t,49.45
Mexico,2017,t,788451.84
Micronesia (Federated States of),2017,t,3777.81
Mongolia,2017,t,9378.2
Montenegro,2017,t,6749.48
Morocco,2017,t,404.35
Mozambique,2017,t,22211.56
Myanmar,2017,t,20.4
Namibia,2017,t,26899.36
Nauru,2017,t,577.18
Nepal,2017,t,114.76
Netherlands (Kingdom of the),2017,t,358733.38
New Caledonia,2017,t,8216.11
Nicaragua,2017,t,5225.63
Niger,2017,t,2182
Nigeria,2017,t,12632.26
Niue,2017,t,52.85
North Macedonia,2017,t,36647.87
Norway,2017,t,525.81
Oman,2017,t,121508.28
Pakistan,2017,t,64.48
Palau,2017,t,964.45
Palestine,2017,t,7900
Panama,2017,t,11639.42
Papua New Guinea,2017,t,22715.16
Peru,2017,t,46126.43
Philippines,2017,t,246015.63
Poland,2017,t,31348.32
Portugal,2017,t,37998.25
Qatar,2017,t,138567.45
Republic of Korea,2017,t,106358.86
Republic of Moldova,2017,t,11876.52
Romania,2017,t,110910.09
Russian Federation,2017,t,218668.52
Rwanda,2017,t,11.64
Saint Kitts and Nevis,2017,t,3421.08
Saint Lucia,2017,t,8268.72
Saint Vincent and the Grenadines,2017,t,7020.64
Samoa,2017,t,15053.22
Sao Tome and Principe,2017,t,1860.1
Saudi Arabia,2017,t,730959.6
Senegal,2017,t,8.98
Serbia,2017,t,7182.47
Seychelles,2017,t,3124.38
Sierra Leone,2017,t,13069.56
Singapore,2017,t,122429.63
Slovakia,2017,t,48808.16
Slovenia,2017,t,11272.44
Solomon Islands,2017,t,3031.22
Somalia,2017,t,2085.4
South Africa,2017,t,480345.55
South Sudan,2017,t,788.72
Spain,2017,t,129773.42
Sri Lanka,2017,t,209.69
Sudan,2017,t,616.58
Suriname,2017,t,17706.96
Sweden,2017,t,52918.15
Switzerland,2017,t,33791.47
Syrian Arab Republic,2017,t,24297.67
Tajikistan,2017,t,2608.61
Thailand,2017,t,356.38
Timor-Leste,2017,t,6880.54
Togo,2017,t,15209.45
Tonga,2017,t,7976.1
Trinidad and Tobago,2017,t,16970
Tunisia,2017,t,233.14
Türkiye,2017,t,2752.28
Turkmenistan,2017,t,9647.53
Tuvalu,2017,t,586.66
Uganda,2017,t,184.05
Ukraine,2017,t,106930.34
United Arab Emirates,2017,t,440543.31
United Kingdom of Great Britain and Northern Ireland,2017,t,366959.6
United Republic of Tanzania,2017,t,2326.6
United States of America,2017,t,58075.28
Uruguay,2017,t,347.87
Uzbekistan,2017,t,7695.82
Vanuatu,2017,t,3394.08
Venezuela (Bolivarian Republic of),2017,t,23121.08
Viet Nam,2017,t,105695.06
Yemen,2017,t,81697.39
Zambia,2017,t,12010.62
Zimbabwe,2017,t,5876.56
