Area,Year,Unit,Value
Afghanistan,2017,t,27637.84
Albania,2017,t,12912
Algeria,2017,t,364252.17
Angola,2017,t,40460.72
Antigua and Barbuda,2017,t,23.48
Argentina,2017,t,2116000
Armenia,2017,t,10600
Australia,2017,t,1229505
Austria,2017,t,127200
Azerbaijan,2017,t,104362
Bahamas,2017,t,6573.06
Bahrain,2017,t,8928
Bangladesh,2017,t,195371.82
Barbados,2017,t,15805.3
Belarus,2017,t,484900
Belgium,2017,t,455364
Belize,2017,t,19646
Benin,2017,t,14109
Bhutan,2017,t,1348.76
Bolivia (Plurinational State of),2017,t,504093
Bosnia and Herzegovina,2017,t,60970
Botswana,2017,t,1316.43
Brazil,2017,t,13607352.2
Brunei Darussalam,2017,t,23282.7
Bulgaria,2017,t,87029
Burkina Faso,2017,t,188000
Burundi,2017,t,7320.76
Cabo Verde,2017,t,902
Cambodia,2017,t,17480.53
Cameroon,2017,t,125006
Canada,2017,t,1237223
Central African Republic,2017,t,6006.44
Chad,2017,t,6172.4
Chile,2017,t,626126.68
China,2017,t,13861131.72
"China, Hong Kong SAR",2017,t,23400
"China, Macao SAR",2017,t,3408.72
"China, mainland",2017,t,13279000
"China, Taiwan Province of",2017,t,555323
Colombia,2017,t,1563607.1
Comoros,2017,t,574.73
Congo,2017,t,6536.76
Cook Islands,2017,t,42.93
Costa Rica,2017,t,133200
Côte d'Ivoire,2017,t,58459.97
Croatia,2017,t,52400
Cuba,2017,t,29250
Cyprus,2017,t,25099.74
Czechia,2017,t,151981
Democratic People's Republic of Korea,2017,t,29945.04
Democratic Republic of the Congo,2017,t,10314
Denmark,2017,t,151712
Dominica,2017,t,363.81
Dominican Republic,2017,t,338636.8
Ecuador,2017,t,459886
Egypt,2017,t,1302922
El Salvador,2017,t,136238.18
Equatorial Guinea,2017,t,249.84
Eritrea,2017,t,1559.71
Estonia,2017,t,20400
Eswatini,2017,t,2225.86
Ethiopia,2017,t,67382.55
Fiji,2017,t,33071
Finland,2017,t,120800
France,2017,t,1161745
French Polynesia,2017,t,615.45
Gabon,2017,t,3994.81
Gambia,2017,t,1272.98
Georgia,2017,t,21800
Germany,2017,t,1009565
Ghana,2017,t,60291
Greece,2017,t,243730
Grenada,2017,t,657.9
Guatemala,2017,t,288425
Guinea,2017,t,14991
Guinea-Bissau,2017,t,2827.15
Guyana,2017,t,30668.02
Haiti,2017,t,8521.05
Honduras,2017,t,192593
Hungary,2017,t,341107
Iceland,2017,t,9697
