Area,Element,Item,Year,Value
Afghanistan,Food supply quantity (kg/capita/yr),Poultry Meat,2017,1.79
Albania,Food supply quantity (kg/capita/yr),Poultry Meat,2017,11.47
Algeria,Food supply quantity (kg/capita/yr),Poultry Meat,2017,6.86
Angola,Food supply quantity (kg/capita/yr),Poultry Meat,2017,10.5
Antigua and Barbuda,Food supply quantity (kg/capita/yr),Poultry Meat,2017,69.28
Argentina,Food supply quantity (kg/capita/yr),Poultry Meat,2017,44.3
Armenia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,15.62
Australia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,50.34
Austria,Food supply quantity (kg/capita/yr),Poultry Meat,2017,18.24
Azerbaijan,Food supply quantity (kg/capita/yr),Poultry Meat,2017,12.97
Bahamas,Food supply quantity (kg/capita/yr),Poultry Meat,2017,51.37
Bangladesh,Food supply quantity (kg/capita/yr),Poultry Meat,2017,1.59
Barbados,Food supply quantity (kg/capita/yr),Poultry Meat,2017,47
Belarus,Food supply quantity (kg/capita/yr),Poultry Meat,2017,27.89
Belgium,Food supply quantity (kg/capita/yr),Poultry Meat,2017,11.38
Belize,Food supply quantity (kg/capita/yr),Poultry Meat,2017,31.62
Bolivia (Plurinational State of),Food supply quantity (kg/capita/yr),Poultry Meat,2017,44.68
Bosnia and Herzegovina,Food supply quantity (kg/capita/yr),Poultry Meat,2017,18.32
Botswana,Food supply quantity (kg/capita/yr),Poultry Meat,2017,3.3
Brazil,Food supply quantity (kg/capita/yr),Poultry Meat,2017,48.37
Bulgaria,Food supply quantity (kg/capita/yr),Poultry Meat,2017,22.13
Burkina Faso,Food supply quantity (kg/capita/yr),Poultry Meat,2017,2.1
Cabo Verde,Food supply quantity (kg/capita/yr),Poultry Meat,2017,25.66
Cambodia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,2.18
Cameroon,Food supply quantity (kg/capita/yr),Poultry Meat,2017,3.24
Canada,Food supply quantity (kg/capita/yr),Poultry Meat,2017,38.89
Chile,Food supply quantity (kg/capita/yr),Poultry Meat,2017,39.66
China,Food supply quantity (kg/capita/yr),Poultry Meat,2017,13.24
"China, Hong Kong SAR",Food supply quantity (kg/capita/yr),Poultry Meat,2017,46.19
"China, Macao SAR",Food supply quantity (kg/capita/yr),Poultry Meat,2017,32.95
"China, mainland",Food supply quantity (kg/capita/yr),Poultry Meat,2017,12.71
"China, Taiwan Province of",Food supply quantity (kg/capita/yr),Poultry Meat,2017,33.49
Colombia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,34.06
Comoros,Food supply quantity (kg/capita/yr),Poultry Meat,2017,17.76
Congo,Food supply quantity (kg/capita/yr),Poultry Meat,2017,19.91
Costa Rica,Food supply quantity (kg/capita/yr),Poultry Meat,2017,26.7
Côte d'Ivoire,Food supply quantity (kg/capita/yr),Poultry Meat,2017,1.83
Croatia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,11.05
Cuba,Food supply quantity (kg/capita/yr),Poultry Meat,2017,30.07
Cyprus,Food supply quantity (kg/capita/yr),Poultry Meat,2017,23.79
Czechia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,22.23
Democratic People's Republic of Korea,Food supply quantity (kg/capita/yr),Poultry Meat,2017,1.66
Democratic Republic of the Congo,Food supply quantity (kg/capita/yr),Poultry Meat,2017,1.37
Denmark,Food supply quantity (kg/capita/yr),Poultry Meat,2017,25.22
Djibouti,Food supply quantity (kg/capita/yr),Poultry Meat,2017,2.64
Dominican Republic,Food supply quantity (kg/capita/yr),Poultry Meat,2017,34.77
Ecuador,Food supply quantity (kg/capita/yr),Poultry Meat,2017,20.31
Egypt,Food supply quantity (kg/capita/yr),Poultry Meat,2017,14.99
El Salvador,Food supply quantity (kg/capita/yr),Poultry Meat,2017,24.16
Estonia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,21.03
Eswatini,Food supply quantity (kg/capita/yr),Poultry Meat,2017,6.65
Ethiopia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,0.62
Fiji,Food supply quantity (kg/capita/yr),Poultry Meat,2017,36.8
Finland,Food supply quantity (kg/capita/yr),Poultry Meat,2017,18.99
France,Food supply quantity (kg/capita/yr),Poultry Meat,2017,25.53
French Polynesia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,48.26
Gabon,Food supply quantity (kg/capita/yr),Poultry Meat,2017,37.11
Gambia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,7.63
Georgia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,17.71
Germany,Food supply quantity (kg/capita/yr),Poultry Meat,2017,17.96
Ghana,Food supply quantity (kg/capita/yr),Poultry Meat,2017,6.98
Greece,Food supply quantity (kg/capita/yr),Poultry Meat,2017,15.05
Grenada,Food supply quantity (kg/capita/yr),Poultry Meat,2017,44.49
Guatemala,Food supply quantity (kg/capita/yr),Poultry Meat,2017,20.08
Guinea,Food supply quantity (kg/capita/yr),Poultry Meat,2017,2.16
Guinea-Bissau,Food supply quantity (kg/capita/yr),Poultry Meat,2017,3.64
Guyana,Food supply quantity (kg/capita/yr),Poultry Meat,2017,40.58
Haiti,Food supply quantity (kg/capita/yr),Poultry Meat,2017,9.1
Honduras,Food supply quantity (kg/capita/yr),Poultry Meat,2017,21.24
Hungary,Food supply quantity (kg/capita/yr),Poultry Meat,2017,25.14
Iceland,Food supply quantity (kg/capita/yr),Poultry Meat,2017,32.6
India,Food supply quantity (kg/capita/yr),Poultry Meat,2017,2.79
Indonesia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,7.66
Iran (Islamic Republic of),Food supply quantity (kg/capita/yr),Poultry Meat,2017,25.75
Iraq,Food supply quantity (kg/capita/yr),Poultry Meat,2017,17.3
Ireland,Food supply quantity (kg/capita/yr),Poultry Meat,2017,23.66
Israel,Food supply quantity (kg/capita/yr),Poultry Meat,2017,74.72
Italy,Food supply quantity (kg/capita/yr),Poultry Meat,2017,18.96
Jamaica,Food supply quantity (kg/capita/yr),Poultry Meat,2017,53.11
Jordan,Food supply quantity (kg/capita/yr),Poultry Meat,2017,24.17
Kazakhstan,Food supply quantity (kg/capita/yr),Poultry Meat,2017,18.16
Kenya,Food supply quantity (kg/capita/yr),Poultry Meat,2017,2.17
Kiribati,Food supply quantity (kg/capita/yr),Poultry Meat,2017,19.97
Kuwait,Food supply quantity (kg/capita/yr),Poultry Meat,2017,45.24
Kyrgyzstan,Food supply quantity (kg/capita/yr),Poultry Meat,2017,3.12
Lao People's Democratic Republic,Food supply quantity (kg/capita/yr),Poultry Meat,2017,5.37
Latvia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,20.96
Lebanon,Food supply quantity (kg/capita/yr),Poultry Meat,2017,22.82
Lesotho,Food supply quantity (kg/capita/yr),Poultry Meat,2017,6.23
Liberia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,12.93
Libya,Food supply quantity (kg/capita/yr),Poultry Meat,2017,27.4
