Area,Element,Item,Year,Unit,Value
Afghanistan,Domestic supply quantity,Poultry Meat,2017,1000 t,64
Albania,Domestic supply quantity,Poultry Meat,2017,1000 t,33
Algeria,Domestic supply quantity,Poultry Meat,2017,1000 t,286
Angola,Domestic supply quantity,Poultry Meat,2017,1000 t,318
Antigua and Barbuda,Domestic supply quantity,Poultry Meat,2017,1000 t,7
Argentina,Domestic supply quantity,Poultry Meat,2017,1000 t,1962
Armenia,Domestic supply quantity,Poultry Meat,2017,1000 t,46
Australia,Domestic supply quantity,Poultry Meat,2017,1000 t,1245
Austria,Domestic supply quantity,Poultry Meat,2017,1000 t,172
Azerbaijan,Domestic supply quantity,Poultry Meat,2017,1000 t,129
Bahamas,Domestic supply quantity,Poultry Meat,2017,1000 t,22
Bangladesh,Domestic supply quantity,Poultry Meat,2017,1000 t,258
Barbados,Domestic supply quantity,Poultry Meat,2017,1000 t,17
Belarus,Domestic supply quantity,Poultry Meat,2017,1000 t,266
Belgium,Domestic supply quantity,Poultry Meat,2017,1000 t,157
Belize,Domestic supply quantity,Poultry Meat,2017,1000 t,20
Bolivia (Plurinational State of),Domestic supply quantity,Poultry Meat,2017,1000 t,507
Bosnia and Herzegovina,Domestic supply quantity,Poultry Meat,2017,1000 t,63
Botswana,Domestic supply quantity,Poultry Meat,2017,1000 t,8
Brazil,Domestic supply quantity,Poultry Meat,2017,1000 t,9902
Bulgaria,Domestic supply quantity,Poultry Meat,2017,1000 t,157
Burkina Faso,Domestic supply quantity,Poultry Meat,2017,1000 t,42
Cabo Verde,Domestic supply quantity,Poultry Meat,2017,1000 t,13
Cambodia,Domestic supply quantity,Poultry Meat,2017,1000 t,35
Cameroon,Domestic supply quantity,Poultry Meat,2017,1000 t,78
Canada,Domestic supply quantity,Poultry Meat,2017,1000 t,1431
Chile,Domestic supply quantity,Poultry Meat,2017,1000 t,736
China,Domestic supply quantity,Poultry Meat,2017,1000 t,18670
"China, Hong Kong SAR",Domestic supply quantity,Poultry Meat,2017,1000 t,237
"China, Macao SAR",Domestic supply quantity,Poultry Meat,2017,1000 t,21
"China, mainland",Domestic supply quantity,Poultry Meat,2017,1000 t,17621
"China, Taiwan Province of",Domestic supply quantity,Poultry Meat,2017,1000 t,792
Colombia,Domestic supply quantity,Poultry Meat,2017,1000 t,1639
Comoros,Domestic supply quantity,Poultry Meat,2017,1000 t,13
Congo,Domestic supply quantity,Poultry Meat,2017,1000 t,107
Costa Rica,Domestic supply quantity,Poultry Meat,2017,1000 t,134
Côte d'Ivoire,Domestic supply quantity,Poultry Meat,2017,1000 t,49
Croatia,Domestic supply quantity,Poultry Meat,2017,1000 t,45
Cuba,Domestic supply quantity,Poultry Meat,2017,1000 t,341
Cyprus,Domestic supply quantity,Poultry Meat,2017,1000 t,34
Czechia,Domestic supply quantity,Poultry Meat,2017,1000 t,248
Democratic People's Republic of Korea,Domestic supply quantity,Poultry Meat,2017,1000 t,43
Democratic Republic of the Congo,Domestic supply quantity,Poultry Meat,2017,1000 t,119
Denmark,Domestic supply quantity,Poultry Meat,2017,1000 t,146
Djibouti,Domestic supply quantity,Poultry Meat,2017,1000 t,3
Dominican Republic,Domestic supply quantity,Poultry Meat,2017,1000 t,375
Ecuador,Domestic supply quantity,Poultry Meat,2017,1000 t,340
Egypt,Domestic supply quantity,Poultry Meat,2017,1000 t,1554
El Salvador,Domestic supply quantity,Poultry Meat,2017,1000 t,150
Estonia,Domestic supply quantity,Poultry Meat,2017,1000 t,28
Eswatini,Domestic supply quantity,Poultry Meat,2017,1000 t,8
Ethiopia,Domestic supply quantity,Poultry Meat,2017,1000 t,68
Fiji,Domestic supply quantity,Poultry Meat,2017,1000 t,36
Finland,Domestic supply quantity,Poultry Meat,2017,1000 t,112
France,Domestic supply quantity,Poultry Meat,2017,1000 t,1753
French Polynesia,Domestic supply quantity,Poultry Meat,2017,1000 t,16
Gabon,Domestic supply quantity,Poultry Meat,2017,1000 t,80
Gambia,Domestic supply quantity,Poultry Meat,2017,1000 t,18
Georgia,Domestic supply quantity,Poultry Meat,2017,1000 t,67
Germany,Domestic supply quantity,Poultry Meat,2017,1000 t,1557
Ghana,Domestic supply quantity,Poultry Meat,2017,1000 t,209
Greece,Domestic supply quantity,Poultry Meat,2017,1000 t,178
Grenada,Domestic supply quantity,Poultry Meat,2017,1000 t,8
Guatemala,Domestic supply quantity,Poultry Meat,2017,1000 t,354
Guinea,Domestic supply quantity,Poultry Meat,2017,1000 t,27
Guinea-Bissau,Domestic supply quantity,Poultry Meat,2017,1000 t,7
Guyana,Domestic supply quantity,Poultry Meat,2017,1000 t,31
Haiti,Domestic supply quantity,Poultry Meat,2017,1000 t,98
