Area,Year,Unit,Value
Afghanistan,2017,1000 No,35688.935
Albania,2017,1000 No,2898.242
Algeria,2017,1000 No,41689.299
American Samoa,2017,1000 No,51.586
Andorra,2017,1000 No,73.763
Angola,2017,1000 No,30234.839
Anguilla,2017,1000 No,14.425
Antigua and Barbuda,2017,1000 No,90.468
Argentina,2017,1000 No,44288.894
Armenia,2017,1000 No,2914.963
Aruba,2017,1000 No,105.731
"Ascension, Saint Helena and Tristan da Cunha",2017,1000 No,5.501
Australia,2017,1000 No,24731.038
Austria,2017,1000 No,8798.778
Azerbaijan,2017,1000 No,9968.51
Bahamas,2017,1000 No,390.485
Bahrain,2017,1000 No,1481.995
Bangladesh,2017,1000 No,162186.147
Barbados,2017,1000 No,280.171
Belarus,2017,1000 No,9495.79
Belgium,2017,1000 No,11376.581
Belize,2017,1000 No,373.202
Benin,2017,1000 No,12039.78
Bermuda,2017,1000 No,63.578
Bhutan,2017,1000 No,754.335
Bolivia (Plurinational State of),2017,1000 No,11344.587
"Bonaire, Sint Eustatius and Saba",2017,1000 No,24.797
Bosnia and Herzegovina,2017,1000 No,3428.682
Botswana,2017,1000 No,2266.747
Brazil,2017,1000 No,204703.445
British Virgin Islands,2017,1000 No,32.699
Brunei Darussalam,2017,1000 No,432.772
Bulgaria,2017,1000 No,7075.636
Burkina Faso,2017,1000 No,19894.407
Burundi,2017,1000 No,11506.762
Cabo Verde,2017,1000 No,512.893
Cambodia,2017,1000 No,16073.372
Cameroon,2017,1000 No,24128.601
Canada,2017,1000 No,36808.497
Cayman Islands,2017,1000 No,64.535
Central African Republic,2017,1000 No,4793.511
Chad,2017,1000 No,15622.759
Chile,2017,1000 No,18558.868
China,2017,1000 No,1444079.121
"China, Hong Kong SAR",2017,1000 No,7444.891
"China, Macao SAR",2017,1000 No,646.554
"China, mainland",2017,1000 No,1412354.727
"China, Taiwan Province of",2017,1000 No,23632.948
Colombia,2017,1000 No,48131.078
Comoros,2017,1000 No,756.669
Congo,2017,1000 No,5351.011
Cook Islands,2017,1000 No,17.047
Costa Rica,2017,1000 No,4913.177
Côte d'Ivoire,2017,1000 No,26733.372
Croatia,2017,1000 No,4079.2
Cuba,2017,1000 No,11247.829
Curaçao,2017,1000 No,168.516
Cyprus,2017,1000 No,1254.275
Czechia,2017,1000 No,10541.342
Democratic People's Republic of Korea,2017,1000 No,25817.709
Democratic Republic of the Congo,2017,1000 No,87083.398
Denmark,2017,1000 No,5765.168
Djibouti,2017,1000 No,1054.841
Dominica,2017,1000 No,68.496
Dominican Republic,2017,1000 No,10666.843
Ecuador,2017,1000 No,16759.519
Egypt,2017,1000 No,103696.057
El Salvador,2017,1000 No,6213.533
Equatorial Guinea,2017,1000 No,1562.396
Eritrea,2017,1000 No,3150.347
Estonia,2017,1000 No,1317.425
Eswatini,2017,1000 No,1158.195
Ethiopia,2017,1000 No,109666.481
Falkland Islands (Malvinas),2017,1000 No,3.518
Faroe Islands,2017,1000 No,50.243
Fiji,2017,1000 No,918.759
Finland,2017,1000 No,5508.396
France,2017,1000 No,65284.776
French Guiana,2017,1000 No,276.144
French Polynesia,2017,1000 No,280.087
Gabon,2017,1000 No,2156.9
Gambia,2017,1000 No,2342.189
Georgia,2017,1000 No,3792.859
Germany,2017,1000 No,83104.007
Ghana,2017,1000 No,30008.354
Gibraltar,2017,1000 No,34.245
Greece,2017,1000 No,10753.533
Greenland,2017,1000 No,56.071
Grenada,2017,1000 No,115.438
Guadeloupe,2017,1000 No,412.692
Guam,2017,1000 No,163.49
Guatemala,2017,1000 No,16567.357
Guinea,2017,1000 No,12385.659
Guinea-Bissau,2017,1000 No,1877.072
Guyana,2017,1000 No,768.479
Haiti,2017,1000 No,10817.754
Honduras,2017,1000 No,9588.137
Hungary,2017,1000 No,9785.604
Iceland,2017,1000 No,343.531
India,2017,1000 No,1359657.4
Indonesia,2017,1000 No,267346.658
Iran (Islamic Republic of),2017,1000 No,85026.754
Iraq,2017,1000 No,39337.353
Ireland,2017,1000 No,4810.261
Isle of Man,2017,1000 No,83.609
