Area,Item,Year,Unit,Value
Afghanistan,Grand Total,2017,g/cap/d,65.33
Afghanistan,Animal Products,2017,g/cap/d,11.76
Afghanistan,Poultry Meat,2017,g/cap/d,0.81
Albania,Grand Total,2017,g/cap/d,116.34
Albania,Animal Products,2017,g/cap/d,64.4
Albania,Poultry Meat,2017,g/cap/d,5.24
Algeria,Grand Total,2017,g/cap/d,91.18
Algeria,Animal Products,2017,g/cap/d,28.59
Algeria,Poultry Meat,2017,g/cap/d,3.13
Angola,Grand Total,2017,g/cap/d,52.91
Angola,Animal Products,2017,g/cap/d,17.8
Angola,Poultry Meat,2017,g/cap/d,4.76
Antigua and Barbuda,Grand Total,2017,g/cap/d,95.42
Antigua and Barbuda,Animal Products,2017,g/cap/d,65.14
Antigua and Barbuda,Poultry Meat,2017,g/cap/d,31.5
Argentina,Grand Total,2017,g/cap/d,109.78
Argentina,Animal Products,2017,g/cap/d,70.65
Argentina,Poultry Meat,2017,g/cap/d,20.03
Armenia,Grand Total,2017,g/cap/d,105.43
Armenia,Animal Products,2017,g/cap/d,53.25
Armenia,Poultry Meat,2017,g/cap/d,7.05
Australia,Grand Total,2017,g/cap/d,117.43
Australia,Animal Products,2017,g/cap/d,81.31
Australia,Poultry Meat,2017,g/cap/d,22.71
Austria,Grand Total,2017,g/cap/d,107.81
Austria,Animal Products,2017,g/cap/d,65.65
Austria,Poultry Meat,2017,g/cap/d,8.47
Azerbaijan,Grand Total,2017,g/cap/d,95.09
Azerbaijan,Animal Products,2017,g/cap/d,34.93
Azerbaijan,Poultry Meat,2017,g/cap/d,5.85
Bahamas,Grand Total,2017,g/cap/d,92.13
Bahamas,Animal Products,2017,g/cap/d,58.8
Bahamas,Poultry Meat,2017,g/cap/d,24.04
Bangladesh,Grand Total,2017,g/cap/d,61.19
Bangladesh,Animal Products,2017,g/cap/d,12.88
Bangladesh,Poultry Meat,2017,g/cap/d,0.7
Barbados,Grand Total,2017,g/cap/d,103.47
Barbados,Animal Products,2017,g/cap/d,58.07
Barbados,Poultry Meat,2017,g/cap/d,22.63
Belarus,Grand Total,2017,g/cap/d,101.29
Belarus,Animal Products,2017,g/cap/d,57.43
Belarus,Poultry Meat,2017,g/cap/d,12.58
Belgium,Grand Total,2017,g/cap/d,99.66
Belgium,Animal Products,2017,g/cap/d,59.8
Belgium,Poultry Meat,2017,g/cap/d,5.14
Belize,Grand Total,2017,g/cap/d,77.48
Belize,Animal Products,2017,g/cap/d,34.38
Belize,Poultry Meat,2017,g/cap/d,14.31
Bolivia (Plurinational State of),Grand Total,2017,g/cap/d,80.59
Bolivia (Plurinational State of),Animal Products,2017,g/cap/d,43.45
Bolivia (Plurinational State of),Poultry Meat,2017,g/cap/d,20.15
Bosnia and Herzegovina,Grand Total,2017,g/cap/d,106.23
Bosnia and Herzegovina,Animal Products,2017,g/cap/d,38.82
Bosnia and Herzegovina,Poultry Meat,2017,g/cap/d,8.28
Botswana,Grand Total,2017,g/cap/d,64.1
Botswana,Animal Products,2017,g/cap/d,19.32
Botswana,Poultry Meat,2017,g/cap/d,1.51
Brazil,Grand Total,2017,g/cap/d,104.43
Brazil,Animal Products,2017,g/cap/d,63.27
Brazil,Poultry Meat,2017,g/cap/d,21.95
Bulgaria,Grand Total,2017,g/cap/d,90.99
Bulgaria,Animal Products,2017,g/cap/d,47.55
Bulgaria,Poultry Meat,2017,g/cap/d,9.94
Burkina Faso,Grand Total,2017,g/cap/d,73.04
Burkina Faso,Animal Products,2017,g/cap/d,11.08
Burkina Faso,Poultry Meat,2017,g/cap/d,0.95
Cabo Verde,Grand Total,2017,g/cap/d,83.42
Cabo Verde,Animal Products,2017,g/cap/d,35.17
Cabo Verde,Poultry Meat,2017,g/cap/d,11.75
Cambodia,Grand Total,2017,g/cap/d,61.58
Cambodia,Animal Products,2017,g/cap/d,20.36
Cambodia,Poultry Meat,2017,g/cap/d,0.97
Cameroon,Grand Total,2017,g/cap/d,73.75
Cameroon,Animal Products,2017,g/cap/d,13.11
Cameroon,Poultry Meat,2017,g/cap/d,1.46
Canada,Grand Total,2017,g/cap/d,113.57
Canada,Animal Products,2017,g/cap/d,63.54
Canada,Poultry Meat,2017,g/cap/d,17.76
Chile,Grand Total,2017,g/cap/d,100.96
Chile,Animal Products,2017,g/cap/d,55.92
Chile,Poultry Meat,2017,g/cap/d,18.14
China,Grand Total,2017,g/cap/d,118.59
China,Animal Products,2017,g/cap/d,46.81
China,Poultry Meat,2017,g/cap/d,5.9
"China, Hong Kong SAR",Grand Total,2017,g/cap/d,148.15
"China, Hong Kong SAR",Animal Products,2017,g/cap/d,105.74
"China, Hong Kong SAR",Poultry Meat,2017,g/cap/d,21.88
"China, Macao SAR",Grand Total,2017,g/cap/d,122.24
"China, Macao SAR",Animal Products,2017,g/cap/d,80.57
"China, Macao SAR",Poultry Meat,2017,g/cap/d,14.87
"China, mainland",Grand Total,2017,g/cap/d,118.86
"China, mainland",Animal Products,2017,g/cap/d,46.42
"China, mainland",Poultry Meat,2017,g/cap/d,5.66
"China, Taiwan Province of",Grand Total,2017,g/cap/d,93.4
"China, Taiwan Province of",Animal Products,2017,g/cap/d,50.79
"China, Taiwan Province of",Poultry Meat,2017,g/cap/d,15.04
Colombia,Grand Total,2017,g/cap/d,78.48
Colombia,Animal Products,2017,g/cap/d,43.47
Colombia,Poultry Meat,2017,g/cap/d,15.38
Comoros,Grand Total,2017,g/cap/d,64.9
