Country Name,Country Code,2017 [YR2017]
Afghanistan,AFG,-2.61393089999999
Albania,ALB,0.1638298
Algeria,DZA,-0.929504599999999
American Samoa,ASM,1.2555945
Andorra,AND,1.3250909
Angola,AGO,-0.537214499999999
Anguilla,AIA,1.2217632
Antigua and Barbuda,ATG,0.614623
Argentina,ARG,0.2394066
Armenia,ARM,-0.3015882
Aruba,ABW,1.2066651
Australia,AUS,0.7831479
Austria,AUT,0.9266955
Azerbaijan,AZE,-0.455635299999999
"Bahamas, The",BHS,0.8186672
Bahrain,BHR,-1.0066263
Bangladesh,BGD,-1.3289506
Barbados,BRB,0.8399905
Belarus,BLR,0.0265511
Belgium,BEL,0.3647602
Belize,BLZ,0.0274572
Benin,BEN,0.3155886
Bermuda,BMU,0.8126545
Bhutan,BTN,1.1177867
Bolivia,BOL,-0.2207409
Bosnia and Herzegovina,BIH,-0.3110983
Botswana,BWA,1.0166207
Brazil,BRA,-0.602133799999999
Brunei Darussalam,BRN,1.0788022
Bulgaria,BGR,0.4061393
Burkina Faso,BFA,-0.855665599999999
Burundi,BDI,-2.0904201
Cabo Verde,CPV,0.7203252
Cambodia,KHM,-0.153852799999999
Cameroon,CMR,-1.1934513
Canada,CAN,1.0192144
Cayman Islands,CYM,0.974877
Central African Republic,CAF,-1.82651039999999
Chad,TCD,-1.36771589999999
Chile,CHL,0.5894191
China,CHN,-0.203288
Colombia,COL,-0.779948499999999
Comoros,COM,-0.1999982
"Congo, Dem. Rep.",COD,-2.26337839999999
"Congo, Rep.",COG,-0.7695685
Cook Islands,COK,..
Costa Rica,CRI,0.7405908
Cote d'Ivoire,CIV,-1.0411412
Croatia,HRV,0.6251591
Cuba,CUB,0.5729674
Cyprus,CYP,0.6738103
Czechia,CZE,1.0199948
Denmark,DNK,0.9149035
Djibouti,DJI,-0.7552217
Dominica,DMA,1.1093885
Dominican Republic,DOM,0.0918722
Ecuador,ECU,-0.1273984
"Egypt, Arab Rep.",EGY,-1.4711477
El Salvador,SLV,-0.3360373
Equatorial Guinea,GNQ,-0.3950453
Eritrea,ERI,-0.834184199999999
Estonia,EST,0.8425161
Eswatini,SWZ,-0.380332699999999
Ethiopia,ETH,-1.5195725
Fiji,FJI,0.3819841
Finland,FIN,1.1388152
France,FRA,0.229972
French Guiana,GUF,0.3135074
French Polynesia,PYF,..
Gabon,GAB,-0.4524644
"Gambia, The",GMB,-0.196953699999999
Georgia,GEO,-0.1125587
Germany,DEU,0.7022243
Ghana,GHA,0.0663948999999999
Greece,GRC,0.00694
Greenland,GRL,1.7529215
Grenada,GRD,0.9134729
Guam,GUM,0.8126545
Guatemala,GTM,-0.700759599999999
Guinea,GIN,-0.800407099999999
Guinea-Bissau,GNB,-0.582037399999999
Guyana,GUY,-0.0051392
Haiti,HTI,-0.834199999999999
Honduras,HND,-0.9065696
"Hong Kong SAR, China",HKG,0.6833963
Hungary,HUN,0.7324048
Iceland,ISL,1.2503574
India,IND,-0.572111399999999
Indonesia,IDN,-0.5816146
"Iran, Islamic Rep.",IRN,-0.699442999999999
Iraq,IRQ,-2.1677252
Ireland,IRL,0.9418026
Israel,ISR,-0.4501475
Italy,ITA,0.2543499
Jamaica,JAM,0.1291365
Japan,JPN,1.169376
Jersey,JEY,1.4496687
Jordan,JOR,-0.444359699999999
Kazakhstan,KAZ,-0.0563947
Kenya,KEN,-1.1322093
Kiribati,KIR,0.9519508
"Korea, Dem. People's Rep.",PRK,-0.3543859
"Korea, Rep.",KOR,0.6254761
Kosovo,XKX,-0.1718171
Kuwait,KWT,0.0018547
Kyrgyz Republic,KGZ,-0.2975366
Lao PDR,LAO,0.2776591
Latvia,LVA,0.6631827
Lebanon,LBN,-1.3393518
Lesotho,LSO,-0.2021614
Liberia,LBR,-0.2701752
Libya,LBY,-2.29431519999999
Liechtenstein,LIE,1.5026105
Lithuania,LTU,0.8922634
Luxembourg,LUX,1.2715421
"Macao SAR, China",MAC,1.3135357
Madagascar,MDG,-0.535016199999999
Malawi,MWI,-0.313000899999999
Malaysia,MYS,-0.011848
Maldives,MDV,-0.0431782999999999
Mali,MLI,-1.71864139999999
Malta,MLT,1.082828
Marshall Islands,MHL,1.1385207
Martinique,MTQ,0.8126545
Mauritania,MRT,-0.7637873
Mauritius,MUS,1.0144918
Mexico,MEX,-1.0455954
"Micronesia, Fed. Sts.",FSM,1.0690453
Moldova,MDA,-0.181840299999999
Monaco,MCO,1.5452189
Mongolia,MNG,0.716039
Montenegro,MNE,0.0506422
Morocco,MAR,-0.5065227
Mozambique,MOZ,-1.06530219999999
