"bien_id","code_dep","code_commune","type_local","surface_carrez","surface_reelle","nombre_pieces"
1,"01","103",Appartement,48.22,48,3
2,"06","004",Appartement,39.11,40,1
3,"06","088",Appartement,80.25,82,3
4,"06","123",Appartement,27.51,27,1
5,"13","005",Appartement,47.33,47,2
6,"13","028",Appartement,25.31,24,1
7,"13","208",Appartement,70.84,70,3
8,"13","212",Appartement,67.19,66,3
9,"14","338",Appartement,18.89,19,1
10,"14","366",Maison,105.37,99,4
11,"17","300",Appartement,31.99,34,2
12,"25","056",Maison,96.21,100,5
13,"29","232",Appartement,30.86,31,1
14,"29","260",Appartement,66.21,67,3
15,"31","555",Appartement,45.58,46,2
16,"33","063",Appartement,23.2,27,1
17,"33","063",Appartement,13.1,12,1
18,"33","097",Appartement,29.0,29,2
19,"33","449",Appartement,51.4,51,2
20,"34","145",Appartement,16.79,18,1
21,"34","150",Appartement,51.4,51,2
22,"34","199",Appartement,68.22,85,3
23,"37","156",Maison,88.45,89,4
24,"37","261",Appartement,42.94,46,2
25,"38","185",Appartement,76.48,77,4
26,"40","266",Maison,48.23,53,3
27,"40","328",Appartement,49.91,48,2
28,"44","143",Appartement,46.3,45,2
29,"44","184",Appartement,47.24,48,2
30,"51","230",Appartement,81.09,79,4
31,"54","395",Appartement,39.69,39,2
32,"56","161",Appartement,43.85,44,3
33,"58","194",Appartement,108.78,124,4
34,"59","512",Appartement,89.84,71,3
35,"60","057",Appartement,48.35,48,2
36,"60","155",Appartement,19.11,18,1
37,"60","159",Appartement,97.39,97,5
38,"60","524",Appartement,31.73,32,1
39,"69","149",Appartement,49.89,51,2
40,"69","384",Appartement,20.02,20,1
41,"74","119",Appartement,34.86,33,2
42,"74","236",Appartement,39.05,39,2
43,"74","238",Appartement,18.93,20,1
44,"74","278",Appartement,88.59,88,4
45,"75","105",Appartement,30.05,41,2
46,"75","110",Appartement,32.3,32,2
47,"75","111",Appartement,120.28,120,4
48,"75","111",Appartement,17.94,28,2
49,"75","111",Appartement,28.39,28,2
50,"75","112",Appartement,18.0,41,2
51,"75","112",Appartement,51.44,51,3
52,"75","112",Appartement,10.06,10,1
53,"75","115",Appartement,88.3,88,4
54,"75","118",Appartement,23.98,18,1
55,"75","118",Appartement,53.59,39,2
56,"75","118",Appartement,24.3,25,2
57,"76","217",Appartement,61.52,59,4
58,"76","451",Appartement,57.27,58,3
59,"76","655",Appartement,23.98,25,1
60,"77","118",Appartement,35.32,40,2
61,"78","350",Appartement,89.41,89,4
