"code_dep","code_commune","nom_commune","population_municipale","population_comptee_a_part"
"01","001",L'Abergement-Clémenciat,779,19
"01","002",L'Abergement-de-Varey,256,1
"01","003",Amareins,"",""
"01","004",Ambérieu-en-Bugey,14134,380
"01","005",Ambérieux-en-Dombes,1751,25
"01","006",Ambléon,112,6
"01","007",Ambronay,2800,115
"01","008",Ambutrix,762,15
"01","009",Andert-et-Condon,326,9
"01","010",Anglefort,1105,17
"01","011",Apremont,368,11
"01","012",Aranc,329,4
"01","013",Arandas,143,4
"01","014",Arbent,3349,93
"01","015",Arboys en Bugey,650,17
"01","016",Arbigny,460,9
"01","017",Argis,457,16
"01","018",Arlod,"",""
"01","019",Armix,27,4
"01","020",Arnans,"",""
"01","021",Ars-sur-Formans,1457,28
"01","022",Artemare,1249,18
"01","023",Asnières-sur-Saône,76,0
"01","024",Attignat,3251,65
"01","025",Bâgé-Dommartin,4065,106
"01","026",Bâgé-le-Châtel,973,68
"01","027",Balan,2563,52
"01","028",Baneins,617,17
"01","029",Beaupont,685,8
"01","030",Beauregard,829,15
"01","031",Bellignat,3652,234
"01","032",Béligneux,3376,29
"01","033",Valserhône,16378,350
"01","034",Belley,9182,400
"01","035",Belleydoux,310,8
"01","036",Valromey-sur-Séran,1326,19
"01","037",Bénonces,308,4
"01","038",Bény,754,21
"01","039",Béon,443,8
"01","040",Béréziat,486,10
"01","041",Bettant,748,21
"01","042",Bey,291,14
"01","043",Beynost,4754,113
"01","044",Billiat,632,16
"01","045",Birieux,283,4
"01","046",Biziat,895,8
"01","047",Blyes,1182,32
"01","048",Bohas,"",""
"01","049",La Boisse,3283,73
"01","050",Boissey,365,4
"01","051",Bolozon,91,1
"01","052",Bouligneux,328,6
"01","053",Bourg-en-Bresse,41111,1742
"01","054",Bourg-Saint-Christophe,1457,32
"01","055",Bouvent,"",""
"01","056",Boyeux-Saint-Jérôme,349,5
"01","057",Boz,519,16
"01","058",Brégnier-Cordon,828,21
"01","059",Brénaz,"",""
"01","060",Brénod,493,21
"01","061",Brens,1144,35
"01","062",Bressolles,934,22
"01","063",Brion,533,7
"01","064",Briord,1070,20
"01","065",Buellas,1812,64
"01","066",La Burbanche,89,1
"01","067",Ceignes,255,13
"01","068",Cerdon,775,15
"01","069",Certines,1503,39
