YEAR,REGION,AGE_GROUP,GENDER,NB_ETUDIANTS,POPULATION_INSEE
2022,Auvergne-Rhône-Alpes,20-24 ans,F,,228531
2022,Auvergne-Rhône-Alpes,20-24 ans,M,1,239255
2022,Auvergne-Rhône-Alpes,25-29 ans,F,4,227869
2022,Auvergne-Rhône-Alpes,25-29 ans,M,8,229782
2022,Auvergne-Rhône-Alpes,25-29 ans,Non renseigné,11,
2022,Auvergne-Rhône-Alpes,30-34 ans,F,9,252973
2022,Auvergne-Rhône-Alpes,30-34 ans,M,15,247295
2022,Auvergne-Rhône-Alpes,30-34 ans,Non renseigné,23,
2022,Auvergne-Rhône-Alpes,35-39 ans,F,6,265304
2022,Auvergne-Rhône-Alpes,35-39 ans,M,16,254980
2022,Auvergne-Rhône-Alpes,35-39 ans,Non renseigné,12,
2022,Auvergne-Rhône-Alpes,40-44 ans,F,5,263561
2022,Auvergne-Rhône-Alpes,40-44 ans,M,7,255076
2022,Auvergne-Rhône-Alpes,40-44 ans,Non renseigné,14,
2022,Auvergne-Rhône-Alpes,45-49 ans,F,3,261130
2022,Auvergne-Rhône-Alpes,45-49 ans,M,10,261532
2022,Auvergne-Rhône-Alpes,45-49 ans,Non renseigné,6,
2022,Auvergne-Rhône-Alpes,50-54 ans,F,2,271085
2022,Auvergne-Rhône-Alpes,50-54 ans,M,3,267934
2022,Auvergne-Rhône-Alpes,50-54 ans,Non renseigné,6,
2022,Auvergne-Rhône-Alpes,55-59 ans,F,1,266994
2022,Auvergne-Rhône-Alpes,55-59 ans,M,4,260661
2022,Auvergne-Rhône-Alpes,55-59 ans,Non renseigné,1,
2022,Auvergne-Rhône-Alpes,60 ans ou plus,F,1,1201312
2022,Auvergne-Rhône-Alpes,60 ans ou plus,M,2,963910
2022,Auvergne-Rhône-Alpes,60 ans ou plus,Non renseigné,1,
2022,Bourgogne-Franche-Comté,20-24 ans,F,,69439
2022,Bourgogne-Franche-Comté,20-24 ans,M,,77847
2022,Bourgogne-Franche-Comté,25-29 ans,F,2,68487
2022,Bourgogne-Franche-Comté,25-29 ans,M,4,71275
2022,Bourgogne-Franche-Comté,30-34 ans,F,1,76666
2022,Bourgogne-Franche-Comté,30-34 ans,M,6,76158
2022,Bourgogne-Franche-Comté,30-34 ans,Non renseigné,4,
