YEAR,REGION,AGE_GROUP,GENDER,POPULATION
2022,Auvergne-Rhône-Alpes,20-24 ans,F,228531
2022,Auvergne-Rhône-Alpes,20-24 ans,M,239255
2022,Auvergne-Rhône-Alpes,25-29 ans,F,227869
2022,Auvergne-Rhône-Alpes,25-29 ans,M,229782
2022,Auvergne-Rhône-Alpes,30-34 ans,F,252973
2022,Auvergne-Rhône-Alpes,30-34 ans,M,247295
2022,Auvergne-Rhône-Alpes,35-39 ans,F,265304
2022,Auvergne-Rhône-Alpes,35-39 ans,M,254980
2022,Auvergne-Rhône-Alpes,40-44 ans,F,263561
2022,Auvergne-Rhône-Alpes,40-44 ans,M,255076
2022,Auvergne-Rhône-Alpes,45-49 ans,F,261130
2022,Auvergne-Rhône-Alpes,45-49 ans,M,261532
2022,Auvergne-Rhône-Alpes,50-54 ans,F,271085
2022,Auvergne-Rhône-Alpes,50-54 ans,M,267934
2022,Auvergne-Rhône-Alpes,55-59 ans,F,266994
2022,Auvergne-Rhône-Alpes,55-59 ans,M,260661
2022,Auvergne-Rhône-Alpes,60 ans ou plus,F,1201312
2022,Auvergne-Rhône-Alpes,60 ans ou plus,M,963910
2022,Bourgogne-Franche-Comté,20-24 ans,F,69439
2022,Bourgogne-Franche-Comté,20-24 ans,M,77847
2022,Bourgogne-Franche-Comté,25-29 ans,F,68487
2022,Bourgogne-Franche-Comté,25-29 ans,M,71275
2022,Bourgogne-Franche-Comté,30-34 ans,F,76666
2022,Bourgogne-Franche-Comté,30-34 ans,M,76158
2022,Bourgogne-Franche-Comté,35-39 ans,F,81864
2022,Bourgogne-Franche-Comté,35-39 ans,M,80583
2022,Bourgogne-Franche-Comté,40-44 ans,F,83548
2022,Bourgogne-Franche-Comté,40-44 ans,M,82106
2022,Bourgogne-Franche-Comté,45-49 ans,F,87123
2022,Bourgogne-Franche-Comté,45-49 ans,M,86369
2022,Bourgogne-Franche-Comté,50-54 ans,F,94518
2022,Bourgogne-Franche-Comté,50-54 ans,M,93561
2022,Bourgogne-Franche-Comté,55-59 ans,F,95896
2022,Bourgogne-Franche-Comté,55-59 ans,M,93211
2022,Bourgogne-Franche-Comté,60 ans ou plus,F,474884
2022,Bourgogne-Franche-Comté,60 ans ou plus,M,384913
2022,Bretagne,20-24 ans,F,88059
2022,Bretagne,20-24 ans,M,97043
2022,Bretagne,25-29 ans,F,83474
2022,Bretagne,25-29 ans,M,86968
2022,Bretagne,30-34 ans,F,92960
2022,Bretagne,30-34 ans,M,93119
2022,Bretagne,35-39 ans,F,100341
2022,Bretagne,35-39 ans,M,98865
2022,Bretagne,40-44 ans,F,104997
2022,Bretagne,40-44 ans,M,103643
2022,Bretagne,45-49 ans,F,108917
2022,Bretagne,45-49 ans,M,110035
2022,Bretagne,50-54 ans,F,114041
2022,Bretagne,50-54 ans,M,113178
2022,Bretagne,55-59 ans,F,114499
2022,Bretagne,55-59 ans,M,111645
2022,Bretagne,60 ans ou plus,F,572569
2022,Bretagne,60 ans ou plus,M,453105
2022,Centre-Val-de-Loire,20-24 ans,F,63649
2022,Centre-Val-de-Loire,20-24 ans,M,68680
2022,Centre-Val-de-Loire,25-29 ans,F,62933
2022,Centre-Val-de-Loire,25-29 ans,M,63579
2022,Centre-Val-de-Loire,30-34 ans,F,72900
2022,Centre-Val-de-Loire,30-34 ans,M,70117
2022,Centre-Val-de-Loire,35-39 ans,F,76920
2022,Centre-Val-de-Loire,35-39 ans,M,73397
2022,Centre-Val-de-Loire,40-44 ans,F,77852
2022,Centre-Val-de-Loire,40-44 ans,M,75290
2022,Centre-Val-de-Loire,45-49 ans,F,82218
2022,Centre-Val-de-Loire,45-49 ans,M,80214
2022,Centre-Val-de-Loire,50-54 ans,F,88106
2022,Centre-Val-de-Loire,50-54 ans,M,85959
2022,Centre-Val-de-Loire,55-59 ans,F,87537
2022,Centre-Val-de-Loire,55-59 ans,M,84364
2022,Centre-Val-de-Loire,60 ans ou plus,F,426427
2022,Centre-Val-de-Loire,60 ans ou plus,M,344445
2022,Corse,20-24 ans,F,7707
2022,Corse,20-24 ans,M,8131
2022,Corse,25-29 ans,F,9075
2022,Corse,25-29 ans,M,8350
2022,Corse,30-34 ans,F,10719
2022,Corse,30-34 ans,M,10433
2022,Corse,35-39 ans,F,11588
2022,Corse,35-39 ans,M,10373
2022,Corse,40-44 ans,F,11895
2022,Corse,40-44 ans,M,11411
2022,Corse,45-49 ans,F,12028
2022,Corse,45-49 ans,M,11263
2022,Corse,50-54 ans,F,12260
2022,Corse,50-54 ans,M,12318
2022,Corse,55-59 ans,F,12194
2022,Corse,55-59 ans,M,11579
2022,Corse,60 ans ou plus,F,59061
2022,Corse,60 ans ou plus,M,50349
2022,DROM,20-24 ans,F,64510
2022,DROM,20-24 ans,M,61007
2022,DROM,25-29 ans,F,65404
2022,DROM,25-29 ans,M,52227
2022,DROM,30-34 ans,F,73032
2022,DROM,30-34 ans,M,56809
2022,DROM,35-39 ans,F,74491
2022,DROM,35-39 ans,M,58086
2022,DROM,40-44 ans,F,72658
2022,DROM,40-44 ans,M,58307
2022,DROM,45-49 ans,F,73821
2022,DROM,45-49 ans,M,63017
2022,DROM,50-54 ans,F,77630
2022,DROM,50-54 ans,M,68280
2022,DROM,55-59 ans,F,77813
2022,DROM,55-59 ans,M,70332
2022,DROM,60 ans ou plus,F,242969
2022,DROM,60 ans ou plus,M,201324
2022,Grand Est,20-24 ans,F,153260
2022,Grand Est,20-24 ans,M,165884
2022,Grand Est,25-29 ans,F,151462
2022,Grand Est,25-29 ans,M,156316
2022,Grand Est,30-34 ans,F,168006
2022,Grand Est,30-34 ans,M,166340
2022,Grand Est,35-39 ans,F,175546
2022,Grand Est,35-39 ans,M,170597
2022,Grand Est,40-44 ans,F,173190
2022,Grand Est,40-44 ans,M,170271
2022,Grand Est,45-49 ans,F,175778
2022,Grand Est,45-49 ans,M,174486
2022,Grand Est,50-54 ans,F,187809
2022,Grand Est,50-54 ans,M,185608
2022,Grand Est,55-59 ans,F,193756
2022,Grand Est,55-59 ans,M,187667
2022,Grand Est,60 ans ou plus,F,856514
2022,Grand Est,60 ans ou plus,M,691444
2022,Hauts-de-France,20-24 ans,F,180743
2022,Hauts-de-France,20-24 ans,M,186248
2022,Hauts-de-France,25-29 ans,F,167340
2022,Hauts-de-France,25-29 ans,M,167168
2022,Hauts-de-France,30-34 ans,F,184679
2022,Hauts-de-France,30-34 ans,M,179837
2022,Hauts-de-France,35-39 ans,F,194611
2022,Hauts-de-France,35-39 ans,M,188234
2022,Hauts-de-France,40-44 ans,F,190967
2022,Hauts-de-France,40-44 ans,M,186844
2022,Hauts-de-France,45-49 ans,F,192319
2022,Hauts-de-France,45-49 ans,M,190618
2022,Hauts-de-France,50-54 ans,F,194384
2022,Hauts-de-France,50-54 ans,M,191932
2022,Hauts-de-France,55-59 ans,F,194380
2022,Hauts-de-France,55-59 ans,M,186952
2022,Hauts-de-France,60 ans ou plus,F,853289
2022,Hauts-de-France,60 ans ou plus,M,658155
2022,Normandie,20-24 ans,F,88936
2022,Normandie,20-24 ans,M,94648
2022,Normandie,25-29 ans,F,85394
2022,Normandie,25-29 ans,M,86310
2022,Normandie,30-34 ans,F,95173
2022,Normandie,30-34 ans,M,93536
2022,Normandie,35-39 ans,F,101931
2022,Normandie,35-39 ans,M,98057
2022,Normandie,40-44 ans,F,100250
2022,Normandie,40-44 ans,M,98210
2022,Normandie,45-49 ans,F,104152
2022,Normandie,45-49 ans,M,101654
2022,Normandie,50-54 ans,F,110009
2022,Normandie,50-54 ans,M,107430
2022,Normandie,55-59 ans,F,112927
2022,Normandie,55-59 ans,M,107398
2022,Normandie,60 ans ou plus,F,545498
2022,Normandie,60 ans ou plus,M,429398
2022,Nouvelle-Aquitaine,20-24 ans,F,153766
2022,Nouvelle-Aquitaine,20-24 ans,M,164944
2022,Nouvelle-Aquitaine,25-29 ans,F,150191
2022,Nouvelle-Aquitaine,25-29 ans,M,150388
2022,Nouvelle-Aquitaine,30-34 ans,F,169765
2022,Nouvelle-Aquitaine,30-34 ans,M,164607
2022,Nouvelle-Aquitaine,35-39 ans,F,180859
2022,Nouvelle-Aquitaine,35-39 ans,M,173221
2022,Nouvelle-Aquitaine,40-44 ans,F,189218
2022,Nouvelle-Aquitaine,40-44 ans,M,182141
2022,Nouvelle-Aquitaine,45-49 ans,F,198248
2022,Nouvelle-Aquitaine,45-49 ans,M,192658
2022,Nouvelle-Aquitaine,50-54 ans,F,209507
2022,Nouvelle-Aquitaine,50-54 ans,M,201275
2022,Nouvelle-Aquitaine,55-59 ans,F,213254
2022,Nouvelle-Aquitaine,55-59 ans,M,201205
2022,Nouvelle-Aquitaine,60 ans ou plus,F,1071718
2022,Nouvelle-Aquitaine,60 ans ou plus,M,855814
2022,Occitanie,20-24 ans,F,165787
2022,Occitanie,20-24 ans,M,173775
2022,Occitanie,25-29 ans,F,159618
2022,Occitanie,25-29 ans,M,161274
2022,Occitanie,30-34 ans,F,176199
2022,Occitanie,30-34 ans,M,169648
2022,Occitanie,35-39 ans,F,184360
2022,Occitanie,35-39 ans,M,175287
2022,Occitanie,40-44 ans,F,190696
2022,Occitanie,40-44 ans,M,182583
2022,Occitanie,45-49 ans,F,192843
2022,Occitanie,45-49 ans,M,185979
2022,Occitanie,50-54 ans,F,205697
2022,Occitanie,50-54 ans,M,197135
2022,Occitanie,55-59 ans,F,208809
2022,Occitanie,55-59 ans,M,196716
2022,Occitanie,60 ans ou plus,F,1002662
2022,Occitanie,60 ans ou plus,M,812218
2022,Pays de la Loire,20-24 ans,F,104598
2022,Pays de la Loire,20-24 ans,M,112221
2022,Pays de la Loire,25-29 ans,F,100624
2022,Pays de la Loire,25-29 ans,M,102069
2022,Pays de la Loire,30-34 ans,F,111621
2022,Pays de la Loire,30-34 ans,M,111092
2022,Pays de la Loire,35-39 ans,F,119787
2022,Pays de la Loire,35-39 ans,M,116874
2022,Pays de la Loire,40-44 ans,F,122673
2022,Pays de la Loire,40-44 ans,M,121601
2022,Pays de la Loire,45-49 ans,F,124709
2022,Pays de la Loire,45-49 ans,M,125732
2022,Pays de la Loire,50-54 ans,F,125881
2022,Pays de la Loire,50-54 ans,M,125268
2022,Pays de la Loire,55-59 ans,F,123747
2022,Pays de la Loire,55-59 ans,M,120546
2022,Pays de la Loire,60 ans ou plus,F,597045
2022,Pays de la Loire,60 ans ou plus,M,477931
2022,Provence-Alpes-Côte d'Azur,20-24 ans,F,133517
2022,Provence-Alpes-Côte d'Azur,20-24 ans,M,139803
2022,Provence-Alpes-Côte d'Azur,25-29 ans,F,133189
2022,Provence-Alpes-Côte d'Azur,25-29 ans,M,130652
2022,Provence-Alpes-Côte d'Azur,30-34 ans,F,153231
2022,Provence-Alpes-Côte d'Azur,30-34 ans,M,144254
2022,Provence-Alpes-Côte d'Azur,35-39 ans,F,161490
2022,Provence-Alpes-Côte d'Azur,35-39 ans,M,149106
2022,Provence-Alpes-Côte d'Azur,40-44 ans,F,163862
2022,Provence-Alpes-Côte d'Azur,40-44 ans,M,154003
2022,Provence-Alpes-Côte d'Azur,45-49 ans,F,165283
2022,Provence-Alpes-Côte d'Azur,45-49 ans,M,157331
2022,Provence-Alpes-Côte d'Azur,50-54 ans,F,177411
2022,Provence-Alpes-Côte d'Azur,50-54 ans,M,166314
2022,Provence-Alpes-Côte d'Azur,55-59 ans,F,183572
2022,Provence-Alpes-Côte d'Azur,55-59 ans,M,168350
2022,Provence-Alpes-Côte d'Azur,60 ans ou plus,F,877683
2022,Provence-Alpes-Côte d'Azur,60 ans ou plus,M,686518
2022,Île-de-France,20-24 ans,F,422554
2022,Île-de-France,20-24 ans,M,410020
2022,Île-de-France,25-29 ans,F,438011
2022,Île-de-France,25-29 ans,M,415647
2022,Île-de-France,30-34 ans,F,465599
2022,Île-de-France,30-34 ans,M,436749
2022,Île-de-France,35-39 ans,F,450961
2022,Île-de-France,35-39 ans,M,418794
2022,Île-de-France,40-44 ans,F,434771
2022,Île-de-France,40-44 ans,M,413734
2022,Île-de-France,45-49 ans,F,414197
2022,Île-de-France,45-49 ans,M,411669
2022,Île-de-France,50-54 ans,F,403221
2022,Île-de-France,50-54 ans,M,387897
2022,Île-de-France,55-59 ans,F,393487
2022,Île-de-France,55-59 ans,M,369531
2022,Île-de-France,60 ans ou plus,F,1452302
2022,Île-de-France,60 ans ou plus,M,1142183
2023,Auvergne-Rhône-Alpes,20-24 ans,F,229432
2023,Auvergne-Rhône-Alpes,20-24 ans,M,240349
2023,Auvergne-Rhône-Alpes,25-29 ans,F,227409
2023,Auvergne-Rhône-Alpes,25-29 ans,M,230913
2023,Auvergne-Rhône-Alpes,30-34 ans,F,253962
2023,Auvergne-Rhône-Alpes,30-34 ans,M,248724
2023,Auvergne-Rhône-Alpes,35-39 ans,F,265347
2023,Auvergne-Rhône-Alpes,35-39 ans,M,254929
