id_prod,date,session_id,client_id,sex,birth,price,categ,age,segment_client
0_1304,2021-03-01 00:07:04.371179,s_7,c_1609,m,1980,5.86,0,41,B2B
0_1159,2021-03-01 00:11:57.832228,s_7,c_1609,m,1980,7.99,0,41,B2B
0_1431,2021-03-01 01:08:49.803921,s_33,c_3454,m,1969,10.99,0,52,B2B
0_1425,2021-03-01 01:56:41.944044,s_46,c_1609,m,1980,12.99,0,41,B2B
0_1469,2021-03-01 02:12:21.294004,s_53,c_1609,m,1980,14.99,0,41,B2B
1_406,2021-03-01 02:41:13.649521,s_63,c_1609,m,1980,24.81,1,41,B2B
1_730,2021-03-01 02:44:56.320114,s_53,c_1609,m,1980,22.65,1,41,B2B
0_1529,2021-03-01 02:52:05.750117,s_46,c_1609,m,1980,3.99,0,41,B2B
1_376,2021-03-01 03:55:08.643093,s_89,c_3454,m,1969,17.49,1,52,B2B
1_350,2021-03-01 04:54:48.643575,s_113,c_4958,m,1999,20.83,1,22,B2B
0_1338,2021-03-01 05:40:02.593979,s_124,c_1609,m,1980,9.28,0,41,B2B
1_293,2021-03-01 05:42:43.434374,s_124,c_1609,m,1980,22.99,1,41,B2B
0_1507,2021-03-01 05:45:44.834695,s_124,c_1609,m,1980,3.99,0,41,B2B
0_1465,2021-03-01 06:01:42.674796,s_124,c_1609,m,1980,3.99,0,41,B2B
1_702,2021-03-01 06:35:33.906582,s_142,c_3454,m,1969,15.2,1,52,B2B
0_1591,2021-03-01 06:44:06.269773,s_145,c_6714,f,1968,9.99,0,53,B2B
0_1410,2021-03-01 06:51:00.317325,s_145,c_6714,f,1968,14.85,0,53,B2B
1_339,2021-03-01 06:53:05.073853,s_142,c_3454,m,1969,22.99,1,52,B2B
1_493,2021-03-01 06:53:47.878169,s_145,c_6714,f,1968,10.99,1,53,B2B
0_1543,2021-03-01 07:09:34.772254,s_145,c_6714,f,1968,13.99,0,53,B2B
2_150,2021-03-01 07:56:29.028254,s_165,c_4958,m,1999,157.63,2,22,B2B
0_1506,2021-03-01 07:58:05.584032,s_145,c_6714,f,1968,10.0,0,53,B2B
0_1451,2021-03-01 08:59:13.332251,s_188,c_3454,m,1969,19.99,0,52,B2B
1_622,2021-03-01 10:40:52.360419,s_219,c_3454,m,1969,17.41,1,52,B2B
1_413,2021-03-01 11:11:30.150571,s_228,c_3454,m,1969,17.99,1,52,B2B
0_1311,2021-03-01 12:06:35.025707,s_248,c_3454,m,1969,18.99,0,52,B2B
1_378,2021-03-01 12:21:50.789080,s_253,c_4958,m,1999,26.61,1,22,B2B
0_1460,2021-03-01 12:30:57.658136,s_257,c_1609,m,1980,4.59,0,41,B2B
1_351,2021-03-01 12:57:23.618350,s_264,c_4958,m,1999,28.99,1,22,B2B
0_1405,2021-03-01 12:59:46.364388,s_257,c_1609,m,1980,4.99,0,41,B2B
0_1476,2021-03-01 13:09:18.859031,s_257,c_1609,m,1980,15.66,0,41,B2B
0_1199,2021-03-01 13:10:53.458043,s_257,c_1609,m,1980,14.99,0,41,B2B
2_113,2021-03-01 13:48:27.222530,s_286,c_4958,m,1999,56.99,2,22,B2B
1_426,2021-03-01 13:53:36.919272,s_286,c_4958,m,1999,19.44,1,22,B2B
1_417,2021-03-01 13:55:32.177950,s_289,c_4958,m,1999,20.99,1,22,B2B
0_1614,2021-03-01 14:05:53.112762,s_296,c_1609,m,1980,4.03,0,41,B2B
0_1469,2021-03-01 14:06:01.171301,s_296,c_1609,m,1980,14.99,0,41,B2B
0_1082,2021-03-01 14:32:22.806097,s_296,c_1609,m,1980,15.41,0,41,B2B
1_706,2021-03-01 14:50:18.578844,s_310,c_6714,f,1968,24.66,1,53,B2B
2_37,2021-03-01 15:07:32.842824,s_289,c_4958,m,1999,48.99,2,22,B2B
0_1471,2021-03-01 15:08:31.413694,s_310,c_6714,f,1968,12.99,0,53,B2B
1_437,2021-03-01 15:47:41.599052,s_329,c_6714,f,1968,26.99,1,53,B2B
0_563,2021-03-01 15:47:54.523456,s_329,c_6714,f,1968,17.99,0,53,B2B
